MSSubClass,LotFrontage,LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,Magic,Target
20,98.0,12704,3,3,2,8,5,2008,2009,306.0,5,3,5.0,3.0,1.0,0.0,0,0.0,0,2042,2042,5,4.0,2042,0,0,2042,0,0,2,1,3,1,5,8,7,1,4.0,2.0,3,1390,3.0,3.0,2,0,90,0,0,0,0,0.0,0.0,0,8,2009,-1,12.292041620873588
20,70.0,8400,3,3,2,7,5,2004,2005,109.0,4,3,4.0,3.0,3.0,5.0,712,0.0,0,761,1473,5,4.0,1484,0,0,1484,1,0,2,0,3,1,4,7,7,0,0.0,2.0,2,606,3.0,3.0,2,0,35,0,144,0,0,0.0,0.0,0,5,2010,-1,12.093488008017985
70,60.0,6155,2,3,2,6,8,1920,1999,0.0,3,3,2.0,2.0,2.0,0.0,0,0.0,0,611,611,5,4.0,751,611,0,1362,0,0,2,0,3,1,3,6,7,0,0.0,3.0,2,502,3.0,2.0,2,0,0,84,0,0,0,0.0,0.0,0,6,2008,-1,11.433464503079708
190,60.0,10800,3,3,2,4,7,1900,2000,0.0,3,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0,3,3.0,694,600,0,1294,0,0,2,0,3,2,3,7,7,0,0.0,0.0,0,0,0.0,0.0,0,220,114,210,0,0,0,0.0,0.0,0,8,2008,-1,11.197110072987556
20,95.0,12182,3,3,2,7,5,2005,2005,226.0,4,3,4.0,3.0,2.0,3.0,1201,0.0,0,340,1541,5,4.0,1541,0,0,1541,0,0,2,0,3,1,4,7,7,1,4.0,2.0,2,532,3.0,3.0,2,0,70,0,0,0,0,0.0,0.0,0,5,2010,0,12.301382825334498
70,60.0,6600,3,3,2,5,4,1892,1965,0.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,994,994,3,4.0,1378,994,0,2372,0,0,2,0,4,2,3,11,5,0,0.0,2.0,1,432,3.0,3.0,2,0,287,0,0,0,0,0.0,0.0,0,12,2009,0,11.585246126549855
20,89.0,13214,2,3,2,9,5,2008,2009,0.0,5,3,5.0,3.0,4.0,0.0,0,0.0,0,2002,2002,5,4.0,2018,0,0,2018,0,0,2,0,3,1,5,10,7,1,4.0,3.0,3,746,3.0,3.0,2,144,76,0,0,0,0,0.0,0.0,0,5,2010,1,12.93282228836778
70,74.0,11988,2,3,1,6,7,1934,1995,0.0,3,3,3.0,3.0,1.0,1.0,326,0.0,0,389,715,2,3.0,849,811,0,1660,0,0,1,1,3,1,3,6,7,1,4.0,1.0,1,240,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,8,2008,-1,11.941364767524838
20,63.0,13072,3,3,2,6,5,2005,2005,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,1141,1141,5,4.0,1141,0,0,1141,0,0,1,1,3,1,3,6,7,0,0.0,1.0,2,484,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,3,2006,1,12.09591797182525
30,51.0,6120,3,3,2,5,7,1925,1950,0.0,3,3,3.0,3.0,1.0,2.0,489,0.0,0,279,768,3,4.0,1015,0,0,1015,0,0,1,0,3,1,3,6,6,0,0.0,1.0,1,450,3.0,3.0,2,0,0,112,0,120,0,0.0,3.0,620,7,2006,-1,10.8838375326203
20,73.0,9300,3,3,2,5,5,1960,1960,324.0,3,3,3.0,3.0,1.0,2.0,697,0.0,0,571,1268,3,4.0,1264,0,0,1264,1,0,1,0,3,1,3,6,7,2,4.0,1.0,2,461,3.0,3.0,2,0,0,0,0,143,0,0.0,0.0,0,4,2010,1,12.226990058917947
60,84.0,14260,2,3,2,8,5,2000,2000,350.0,4,3,4.0,3.0,3.0,5.0,655,0.0,0,490,1145,5,4.0,1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3.0,2.0,3,836,3.0,3.0,2,192,84,0,0,0,0,0.0,0.0,0,12,2008,-1,12.279481799950295
20,107.0,13891,3,3,2,8,5,2007,2008,436.0,4,3,5.0,3.0,4.0,5.0,1400,0.0,0,310,1710,5,4.0,1710,0,0,1710,1,0,2,0,2,1,4,6,7,1,4.0,2.0,3,866,3.0,3.0,2,0,102,0,0,0,0,0.0,0.0,0,1,2008,1,12.918405714735973
160,67.7156862745098,1974,3,3,2,4,5,1973,1973,0.0,3,3,3.0,3.0,1.0,3.0,334,0.0,0,212,546,3,4.0,546,546,0,1092,0,0,1,1,3,1,3,6,7,0,0.0,2.0,1,286,3.0,3.0,2,120,96,0,0,0,0,0.0,0.0,0,5,2010,1,11.685886140541058
20,67.0,9808,2,3,2,7,5,2002,2002,110.0,4,3,4.0,3.0,1.0,5.0,788,0.0,0,785,1573,5,4.0,1573,0,0,1573,1,0,2,0,3,1,4,6,7,0,0.0,2.0,2,544,3.0,3.0,2,0,72,0,0,0,0,0.0,0.0,0,3,2009,1,12.47759987017673
190,50.0,7420,3,3,2,5,6,1939,1950,0.0,3,3,3.0,3.0,1.0,5.0,851,0.0,0,140,991,5,4.0,1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,3.0,2.0,1,205,4.0,3.0,2,0,4,0,0,0,0,0.0,0.0,0,1,2008,0,11.678439903447801
60,67.7156862745098,7750,3,3,2,7,5,2003,2003,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,660,660,5,4.0,660,660,0,1320,0,0,2,1,3,1,4,6,7,0,0.0,3.0,2,400,3.0,3.0,2,0,48,0,0,0,0,0.0,0.0,0,8,2007,-1,11.762957546593707
60,84.03980099502488,11214,2,3,2,7,5,1998,1999,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,930,930,4,4.0,956,930,0,1886,0,0,2,1,4,1,4,10,7,1,3.0,3.0,2,431,3.0,3.0,2,89,0,0,0,0,0,0.0,0.0,0,7,2006,1,12.362905953378306
20,75.0,9525,3,3,2,5,6,1995,2006,0.0,3,3,4.0,3.0,1.0,0.0,0,0.0,0,1099,1099,5,4.0,1099,0,0,1099,0,0,1,1,3,1,4,6,7,0,0.0,1.0,1,352,3.0,3.0,2,278,0,0,0,0,0,0.0,0.0,0,6,2008,-1,11.58477624414623
20,60.0,7200,3,3,2,6,5,2006,2006,68.0,4,3,4.0,3.0,1.0,5.0,905,0.0,0,357,1262,4,4.0,1262,0,0,1262,0,0,2,0,2,1,4,5,7,0,0.0,3.0,2,572,3.0,3.0,2,0,120,0,0,0,0,0.0,0.0,0,5,2006,-1,11.913966597215106
50,52.0,6240,3,3,2,6,6,1931,1950,0.0,3,3,3.0,2.0,1.0,1.0,425,0.0,0,459,884,3,3.0,959,408,0,1367,0,0,1,0,3,1,3,6,7,1,4.0,1.0,1,560,3.0,3.0,2,0,0,0,0,120,0,0.0,0.0,0,11,2007,0,11.755871643580617
120,48.0,6240,3,3,2,8,5,2006,2006,176.0,4,3,4.0,3.0,1.0,5.0,863,0.0,0,461,1324,5,4.0,1324,0,0,1324,1,0,2,0,2,1,4,6,7,1,4.0,3.0,2,550,3.0,3.0,2,192,38,0,0,0,0,0.0,0.0,0,12,2009,1,12.576276691872792
20,80.0,8816,3,3,2,5,6,1963,1963,0.0,3,3,3.0,3.0,1.0,2.0,651,0.0,0,470,1121,3,4.0,1121,0,0,1121,1,0,1,0,3,1,3,5,7,0,0.0,1.0,2,480,3.0,3.0,2,0,80,0,0,0,0,0.0,3.0,0,6,2009,0,11.842229212112828
70,63.0,15576,3,3,2,6,7,1915,1976,0.0,3,3,4.0,3.0,1.0,0.0,0,0.0,0,840,840,5,4.0,840,840,0,1680,0,0,2,0,4,1,3,8,7,0,0.0,1.0,1,308,3.0,3.0,2,0,0,160,0,0,0,0.0,0.0,0,3,2008,-1,11.864584506672886
160,42.0,3964,3,3,2,6,4,1973,1973,0.0,3,3,4.0,3.0,1.0,4.0,837,0.0,0,105,942,4,4.0,1291,1230,0,2521,1,0,2,1,5,1,3,10,3,1,4.0,3.0,2,576,3.0,3.0,2,728,20,0,0,0,0,0.0,4.0,0,6,2006,-1,11.675849105105232
20,67.7156862745098,19900,3,3,2,7,5,1970,1989,287.0,3,3,4.0,3.0,4.0,5.0,912,0.0,0,1035,1947,3,4.0,2207,0,0,2207,1,0,2,0,3,1,3,7,6,1,4.0,2.0,2,576,3.0,3.0,2,301,0,0,0,0,0,0.0,0.0,0,7,2010,-1,11.884985519655194
70,60.0,8730,3,3,2,6,7,1915,2003,0.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,698,698,5,3.0,698,698,0,1396,0,0,1,0,3,1,3,7,7,0,0.0,1.0,1,384,3.0,3.0,2,0,0,0,0,259,0,0.0,0.0,0,7,2007,1,12.143943488769397
20,63.0,10712,3,3,2,5,5,1991,1992,0.0,3,3,4.0,3.0,2.0,3.0,212,0.0,0,762,974,3,4.0,974,0,0,974,0,0,1,0,3,1,3,5,7,0,0.0,0.0,0,0,0.0,0.0,2,0,28,0,0,0,0,0.0,3.0,0,9,2007,0,11.44571671527678
50,52.0,6292,3,3,2,7,7,1928,1950,0.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,861,861,4,4.0,877,600,0,1477,0,1,2,0,3,1,3,6,7,1,4.0,1.0,1,216,3.0,3.0,2,0,50,0,0,0,0,0.0,0.0,0,8,2009,1,12.088351971816074
20,78.0,11645,3,3,2,7,5,2005,2005,0.0,4,3,4.0,3.0,3.0,5.0,1300,0.0,0,434,1734,5,4.0,1734,0,0,1734,1,0,2,0,3,1,4,7,7,0,0.0,3.0,2,660,3.0,3.0,2,160,24,0,0,0,0,0.0,0.0,0,1,2006,1,12.599151839765472
20,84.03980099502488,21695,2,3,2,6,9,1988,2007,260.0,4,4,4.0,3.0,1.0,5.0,808,0.0,0,72,880,5,4.0,1680,0,0,1680,1,0,2,0,3,1,4,5,7,1,4.0,3.0,2,540,3.0,3.0,2,292,44,0,182,0,0,0.0,0.0,0,12,2009,1,12.457495989027878
70,53.0,10918,3,3,2,7,9,1926,2004,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,1276,1276,5,4.0,1276,804,0,2080,0,0,1,1,3,1,4,9,7,2,4.0,1.0,1,282,3.0,3.0,2,0,0,0,0,145,0,0.0,3.0,0,6,2009,1,12.505256025362478
20,84.0,10084,3,3,2,7,5,2005,2006,196.0,4,3,4.0,3.0,3.0,5.0,24,0.0,0,1528,1552,5,4.0,1552,0,0,1552,0,0,2,0,3,1,4,7,7,0,0.0,2.0,3,782,3.0,3.0,2,144,20,0,0,0,0,0.0,0.0,0,7,2006,-1,12.083053494338358
120,44.0,6371,2,3,2,7,5,2009,2010,128.0,4,3,4.0,3.0,2.0,5.0,733,0.0,0,625,1358,5,4.0,1358,0,0,1358,1,0,2,0,2,1,4,6,7,1,4.0,2.0,2,484,3.0,3.0,2,192,35,0,0,0,0,0.0,0.0,0,6,2010,0,12.319401330837177
190,85.0,13600,3,3,2,5,5,1900,1950,0.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,662,662,3,4.0,1422,915,0,2337,0,0,2,0,5,2,3,10,5,0,0.0,1.0,2,560,3.0,3.0,2,0,57,0,0,0,0,0.0,0.0,0,9,2007,0,11.407564949312402
60,58.0,10852,2,3,2,6,5,2000,2000,0.0,3,3,4.0,3.0,1.0,5.0,786,0.0,0,173,959,5,4.0,959,712,0,1671,1,0,2,1,3,1,3,7,7,1,3.0,3.0,2,472,3.0,3.0,2,0,38,0,0,0,0,0.0,0.0,0,2,2006,-1,11.817171452170047
50,79.0,9490,3,3,2,6,7,1941,1950,0.0,3,3,3.0,3.0,1.0,3.0,403,2.0,165,238,806,3,3.0,958,620,0,1578,1,0,1,0,3,1,2,5,7,2,3.0,1.0,1,240,3.0,3.0,2,0,0,32,0,0,0,0.0,3.0,0,8,2006,0,11.79810440720389
90,91.0,11643,3,3,2,5,5,1969,1969,368.0,3,3,3.0,3.0,1.0,1.0,500,0.0,0,748,1248,3,4.0,1338,1296,0,2634,1,1,2,2,6,2,3,12,7,0,0.0,1.0,4,968,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,8,2009,-1,12.029060495666322
60,92.0,11952,3,3,2,7,6,1977,1977,0.0,3,3,4.0,3.0,1.0,0.0,0,0.0,0,808,808,3,4.0,1161,808,0,1969,0,0,2,1,3,1,3,8,7,1,4.0,2.0,2,534,3.0,3.0,2,0,0,0,0,276,0,0.0,0.0,0,11,2007,1,12.313572226514331
50,84.03980099502488,7015,2,3,2,5,4,1950,1950,161.0,3,3,3.0,3.0,1.0,1.0,185,0.0,0,524,709,3,4.0,979,224,0,1203,1,0,1,0,3,1,4,5,7,1,3.0,1.0,1,352,3.0,3.0,2,0,0,248,0,0,0,0.0,0.0,0,7,2009,1,11.87619348151354
90,64.0,7018,3,3,2,5,5,1979,1979,0.0,3,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0,3,4.0,1120,1120,0,2240,0,0,2,0,6,2,3,12,7,0,0.0,1.0,2,528,3.0,3.0,2,154,0,0,0,0,0,0.0,0.0,0,6,2009,1,12.092913521217394
20,75.0,8250,3,3,2,6,7,1964,1964,260.0,3,3,4.0,3.0,1.0,2.0,787,0.0,0,305,1092,5,4.0,1092,0,0,1092,1,0,1,0,3,1,3,6,7,0,0.0,2.0,2,504,3.0,4.0,2,0,0,0,0,0,0,0.0,3.0,0,7,2008,1,12.121890343788781
60,59.91111111111111,13517,2,3,2,6,8,1976,2005,289.0,4,3,3.0,3.0,1.0,5.0,533,0.0,0,192,725,5,4.0,725,754,0,1479,0,0,2,1,3,1,4,6,7,0,0.0,2.0,2,475,3.0,3.0,2,0,44,0,0,0,0,0.0,0.0,0,3,2010,1,12.013428478929777
120,44.0,4750,2,3,1,8,5,2006,2007,481.0,4,3,4.0,3.0,4.0,5.0,1573,0.0,0,0,1573,5,4.0,1625,0,0,1625,1,1,2,0,2,1,4,5,7,1,4.0,3.0,2,538,3.0,3.0,2,123,0,0,0,153,0,0.0,0.0,0,12,2007,-1,12.201472772582015
75,90.0,22950,1,3,2,10,9,1892,1993,0.0,4,4,3.0,3.0,2.0,0.0,0,0.0,0,1107,1107,5,4.0,1518,1518,572,3608,0,0,2,1,4,1,5,12,7,2,3.0,1.0,3,840,5.0,3.0,2,0,260,0,0,410,0,0.0,4.0,0,6,2006,1,13.143565026581669
20,124.0,16158,2,3,1,7,5,2005,2005,16.0,4,3,5.0,3.0,3.0,4.0,1274,0.0,0,256,1530,5,4.0,1530,0,0,1530,1,0,2,0,3,1,4,7,7,1,4.0,3.0,2,430,3.0,3.0,2,168,36,0,0,0,0,0.0,0.0,0,6,2009,1,12.596057903282869
60,82.0,9452,3,3,2,8,5,1997,1998,423.0,4,3,4.0,3.0,1.0,5.0,1074,0.0,0,322,1396,5,4.0,1407,985,0,2392,1,0,2,1,3,1,4,7,7,1,3.0,3.0,3,870,3.0,3.0,2,0,70,0,0,0,0,0.0,0.0,0,6,2006,-1,12.654664176279622
120,84.03980099502488,3136,2,3,2,7,5,2003,2003,163.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,1405,1405,5,4.0,1405,0,0,1405,0,0,2,0,2,1,4,6,7,1,4.0,2.0,2,478,3.0,3.0,2,148,36,0,0,0,0,0.0,0.0,0,3,2006,1,12.240395740251088
160,21.0,1869,3,3,2,6,6,1970,1970,127.0,3,3,3.0,3.0,1.0,2.0,321,0.0,0,162,483,3,4.0,483,504,0,987,0,0,1,1,2,1,3,5,7,0,0.0,1.0,1,280,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,9,2008,1,11.848842227501919
50,84.03980099502488,7758,3,3,2,7,4,1931,1950,600.0,3,2,3.0,3.0,1.0,1.0,224,0.0,0,816,1040,5,2.0,1226,592,0,1818,0,0,1,1,4,1,3,7,7,2,3.0,1.0,1,240,3.0,3.0,2,0,0,0,0,184,0,0.0,0.0,0,6,2007,-1,11.810517909890214
20,67.7156862745098,10659,2,3,2,5,6,1961,1961,0.0,3,3,3.0,3.0,1.0,2.0,915,0.0,0,135,1050,3,4.0,1050,0,0,1050,1,0,1,0,3,1,3,6,7,0,0.0,1.0,1,368,3.0,3.0,2,0,319,0,0,0,0,0.0,0.0,0,1,2006,1,12.046481074136258
120,37.0,4435,3,3,2,6,5,2004,2004,169.0,4,3,4.0,3.0,2.0,5.0,662,0.0,0,186,848,5,4.0,848,0,0,848,1,0,1,0,1,1,4,3,7,1,4.0,2.0,2,420,3.0,3.0,2,140,0,0,0,0,0,0.0,0.0,0,5,2006,1,12.151317672236424
30,71.0,6900,3,3,2,5,6,1940,1955,0.0,3,3,3.0,3.0,1.0,4.0,403,2.0,125,212,740,5,4.0,778,0,0,778,0,0,1,0,2,1,3,4,7,1,4.0,3.0,1,924,5.0,5.0,2,0,25,0,0,0,0,0.0,0.0,0,2,2008,-1,11.361405174977175
45,59.0,7227,3,3,1,6,6,1954,1954,0.0,3,3,3.0,3.0,1.0,0.0,0,0.0,0,832,832,4,4.0,832,0,0,832,0,0,1,0,2,1,4,4,7,0,0.0,1.0,2,528,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,6,2008,1,11.85374107543368
20,78.0,9360,3,3,2,6,7,1972,2006,0.0,3,3,3.0,3.0,1.0,4.0,982,0.0,0,179,1161,3,4.0,1381,0,0,1381,1,0,1,1,3,1,4,5,7,1,3.0,2.0,2,676,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,3,2010,-1,12.00268213737773
30,51.0,6120,3,3,2,2,3,1936,1950,0.0,2,2,3.0,2.0,1.0,0.0,0,0.0,0,264,264,2,3.0,800,0,0,800,0,0,1,0,1,1,2,4,3,1,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,1,2009,1,11.444059121136897
60,84.0,10207,3,3,2,7,6,2007,2007,0.0,4,3,4.0,3.0,1.0,0.0,0,0.0,0,874,874,5,4.0,874,887,0,1761,0,0,3,0,3,1,4,7,7,0,0.0,3.0,2,578,3.0,3.0,2,144,105,0,0,0,0,0.0,0.0,0,8,2007,0,12.336552511980964
160,75.0,10762,3,3,2,6,6,1980,1980,0.0,3,3,4.0,3.0,1.0,0.0,0,0.0,0,626,626,3,4.0,626,591,0,1217,0,0,1,1,3,1,3,6,7,1,3.0,2.0,1,288,3.0,3.0,2,0,28,0,0,0,0,0.0,0.0,0,4,2009,0,11.695247021764184
